"請選D","D","A","B","C"
"韓國團體NewJeans為哪間公司旗下的女子團體","ADOR","JYPE","SM","YG"
"韓國團體NewJeans 5 位成員中，誰年紀最小","Hyein","Hanni","Haerin","Danielle"
"下列何者被稱為「詩聖」","杜甫","李白","王維","白居易"
"圓周率pi小數點後第10位為何","5","3",,8","9"
"OpenAI推出之語言模型GPT-3有多少參數","1750億","175億","17.5億","1.75億"
"下列何者非2024中華民國總統選舉參選人","宋楚瑜","柯文哲","侯友宜","賴清德"
"下列何者非2024中華民國副總統參選人","賴佩霞","吳欣盈","蕭美琴","趙少康"
"哪兩所國立大學於2021年合併成為NYCU","陽明大學、交通大學","交通大學、清華大學","清華大學、新竹教育大學","陽明大學、政治大學"
"下列哪首不是周杰倫的歌曲","言不由衷","說好的幸福呢","超人不會飛","稻香"
"下列哪首不是盧廣仲的歌曲","如果可以","魚仔","幾分之幾","科在我心底的名字"
"下列哪首不是韋禮安的歌曲","買榜","兩腳書櫥的逃亡","狼","別說沒愛過"
"下列哪個水果最酸","檸檬","葡萄","芭樂","蘋果"
"下列哪個水果最大","西瓜","百香果","蘋果","柳丁"
"下列哪個水果最小","葡萄","橘子","火龍果","哈密瓜"
"下列哪首不是徐佳瑩的歌曲","情歌","尋人啟事","言不由衷","失落沙洲"
"下列哪首不是梁靜茹的歌","後來","情歌","慢熱","勇氣"
"他的手可以穿過我的___","巴巴","爸爸","媽媽","拉拉"
"下列何者金庸作品並非射鵰三部曲之一","書劍恩仇錄","射鵰英雄傳","神鵰俠侶","倚天屠龍記"
"夜空中最亮的星體為","滿月","金星","天狼星","木星"
"天空中最亮的星體為","太陽","月亮","木星","周星星"
"下列何者最不可能出現在夜空","水星","火星","木星","土星"
"當紅女團aespa將出席哪間台灣公司的尾牙表演","佳世達","台積電","鴻海","聯發科"
"哪個女團與鬥陣特攻2合作推出歌曲perfect night","le sserafim","NewJeans","IVE","(G)I-DLE"
"下列何者位置最靠南","高雄","台中","嘉義","花蓮"
"下列何者不是溫室氣體","氮","水氣","臭氧","二氧化碳"
"何者為精氨酸的縮寫","Arg","Thr","Tyr","Ala"
"蒙特婁議定書針對下列何者進行管制","氟氯碳化物","核廢水","海洋垃圾","太空垃圾"
"什麼笑話比24更好笑","25","23","22","26"
"韓國女團(G)I-DLE中的台灣成員為","舒華","小娟","雨琦","薇娟"
"下列何隻寶可夢並不具龍屬性","噴火龍","列咬陸鯊","七夕青鳥","快龍"
